,Data,N-day,S-day,T-day,S minus
482,1987-04-28,0.0,0.0,0.0,0.0
483,1987-04-29,0.0,0.0,0.0,0.0
484,1987-04-30,0.44,0.0,0.44,0.0
485,1987-05-01,2.56,0.76,3.32,-0.76
486,1987-05-02,6.13,0.0,6.13,0.0
487,1987-05-03,0.0,0.0,0.0,0.0
488,1987-05-04,0.0,0.0,0.0,0.0
489,1987-05-05,0.0,1.73,1.73,-1.73
490,1987-05-06,0.0,2.79,2.79,-2.79
491,1987-05-07,0.0,2.69,2.69,-2.69
492,1987-05-08,0.0,0.83,0.83,-0.83
493,1987-05-09,0.0,0.0,0.0,0.0
494,1987-05-10,0.0,0.24,0.24,-0.24
495,1987-05-11,0.0,1.6,1.6,-1.6
496,1987-05-12,0.0,0.0,0.0,0.0
497,1987-05-13,0.0,1.87,1.87,-1.87
498,1987-05-14,0.09,1.31,1.4,-1.31
499,1987-05-15,0.76,0.84,1.6,-0.84
500,1987-05-16,5.38,7.09,12.47,-7.09
501,1987-05-17,0.85,6.19,7.04,-6.19
502,1987-05-18,6.11,2.28,8.39,-2.28
503,1987-05-19,3.35,1.97,5.32,-1.97
504,1987-05-20,6.65,0.13,6.78,-0.13
505,1987-05-21,10.13,0.0,10.13,0.0
506,1987-05-22,5.67,2.02,7.69,-2.02
507,1987-05-23,2.96,0.0,2.96,0.0
508,1987-05-24,10.94,0.0,10.94,0.0
509,1987-05-25,15.32,0.0,15.32,0.0
510,1987-05-26,3.57,0.0,3.57,0.0
511,1987-05-27,2.48,0.0,2.48,0.0
512,1987-05-28,1.58,0.0,1.58,0.0
513,1987-05-29,0.25,0.0,0.25,0.0
514,1987-05-30,0.17,0.0,0.17,0.0
515,1987-05-31,0.13,0.0,0.13,0.0
516,1987-06-01,0.0,0.0,0.0,0.0
517,1987-06-02,0.0,1.25,1.25,-1.25
518,1987-06-03,0.0,0.0,0.0,0.0
519,1987-06-04,0.0,0.0,0.0,0.0
520,1987-06-05,0.0,0.0,0.0,0.0
521,1987-06-06,0.0,0.1,0.1,-0.1
522,1987-06-07,0.0,0.0,0.0,0.0
523,1987-06-08,0.0,0.0,0.0,0.0
524,1987-06-09,0.0,0.0,0.0,0.0
525,1987-06-10,0.0,0.0,0.0,0.0
526,1987-06-11,0.0,0.0,0.0,0.0
527,1987-06-12,0.0,0.0,0.0,0.0
528,1987-06-13,0.0,0.0,0.0,0.0
529,1987-06-14,0.76,0.19,0.95,-0.19
530,1987-06-15,0.0,0.0,0.0,0.0
531,1987-06-16,1.67,1.35,3.02,-1.35
532,1987-06-17,0.0,0.0,0.0,0.0
533,1987-06-18,0.1,0.21,0.31,-0.21
534,1987-06-19,0.42,0.0,0.42,0.0
535,1987-06-20,1.0,0.0,1.0,0.0
536,1987-06-21,1.8,0.0,1.8,0.0
537,1987-06-22,2.58,0.06,2.64,-0.06
538,1987-06-23,2.27,0.46,2.73,-0.46
539,1987-06-24,3.42,0.4,3.82,-0.4
540,1987-06-25,1.62,0.0,1.62,0.0
541,1987-06-26,1.21,2.71,3.92,-2.71
